country,additional_info,aka,designation,id,link,orgKey,source,hcp_id,hco_id
BRAZIL,,,,8824,,,openai,8824,B001
BRAZIL,,,,8033,,,openai,8033,B001
BRAZIL,,,,8033,,,openai,8033,B002
BRAZIL,,,,8037,,,openai,8037,B002
BRAZIL,,,,8041,,,openai,8041,B002
BRAZIL,,,,8045,,,openai,8045,B005
BRAZIL,,,,8045,,,openai,8045,B002
BRAZIL,,,,2394,,,openai,2394,B004
BRAZIL,,,,2456,,,openai,2456,B004
BRAZIL,,,,2553,,,orgIntel,2553,B003
BRAZIL,,,,2553,,,orgIntel,2553,B004
BRAZIL,,,,2578,,,openai,2578,B004
BRAZIL,,,,1298,,,openai,1298,B005
BRAZIL,,,,1406,,,openai,1406,B005
BRAZIL,,,,1823,,,openai,1823,B007
BRAZIL,,,,1823,,,openai,1823,B005
BRAZIL,,,,1836,,,openai,1836,B005
BRAZIL,,,,1059,,,openai,1059,B007
BRAZIL,,,,1137,,,openai,1137,B007
BRAZIL,,,,8177,,,orgIntel,8177,B007
BRAZIL,,,,8177,,,orgIntel,8177,B008
BRAZIL,,,,8181,,,openai,8181,B008
BRAZIL,,,,8189,,,openai,8189,B009
BRAZIL,,,,8193,,,orgIntel,8193,B009
BRAZIL,,,,8197,,,openai,8197,B009
BRAZIL,,,,8203,,,openai,8203,B010
BRAZIL,,,,8203,,,openai,8203,B009
BRAZIL,,,,8215,,,orgIntel,8215,B010
BRAZIL,,,,8219,,,openai,8219,B011
BRAZIL,,,,8219,,,openai,8219,B010
BRAZIL,,,,8223,,,orgIntel,8223,B010
BRAZIL,,,,8227,,,openai,8227,B010
BRAZIL,,,,8549,,,openai,8549,B011
BRAZIL,,,,8551,,,openai,8551,B011
BRAZIL,,,,8555,,,Google Scholar,8555,B011
BRAZIL,,,,8559,,,openai,8559,B011
BRAZIL,,,,8563,,,openai,8563,B011
BRAZIL,,,,8025,,,orgIntel,8025,B012
BRAZIL,,,,8029,,,openai,8029,B012
BRAZIL,,,,8207,,,openai,8207,B013
BRAZIL,,,,8211,,,Google Scholar,8211,B013
BRAZIL,,,,8800,,,openai,8800,B014
BRAZIL,,,,8804,,,openai,8804,B014
BRAZIL,,,,8808,,,openai,8808,B014
BRAZIL,,,,8816,,,Google Scholar,8816,B012
BRAZIL,,,,8816,,,Google Scholar,8816,B014
BRAZIL,,,,8820,,,openai,8820,B014
BRAZIL,,,,8343,,,openai,8343,B011
BRAZIL,,,,8343,,,openai,8343,B015
BRAZIL,,,,8347,,,orgIntel,8347,B015
BRAZIL,,,,8049,,,openai,8049,B101
BRAZIL,,,,8053,,,openai,8053,B101
BRAZIL,,,,8505,,,openai,8505,B101
BRAZIL,,,,8505,,,openai,8505,B102
BRAZIL,,,,8509,,,orgIntel,8509,B102
BRAZIL,,,,8513,,,openai,8513,B102
BRAZIL,,,,8521,,,orgIntel,8521,B102
BRAZIL,,,,8730,,,openai,8730,B102
BRAZIL,,,,8730,,,openai,8730,B103
BRAZIL,,,,8734,,,openai,8734,B103
BRAZIL,,,,8738,,,openai,8738,B103
BRAZIL,,,,8742,,,openai,8742,B014
BRAZIL,,,,8742,,,openai,8742,B103
BRAZIL,,,,8409,,,orgIntel,8409,B121
BRAZIL,,,,8413,,,Google Scholar,8413,B121
BRAZIL,,,,8417,,,openai,8417,B103
BRAZIL,,,,8417,,,openai,8417,B121
BRAZIL,,,,8425,,,openai,8425,B121
BRAZIL,,,,8425,,,openai,8425,B121
BRAZIL,,,,6954,,,openai,6954,B123
BRAZIL,,,,6975,,,orgIntel,6975,B123
BRAZIL,,,,6984,,,orgIntel,6984,B123
BRAZIL,,,,6985,,,openai,6985,B123
BRAZIL,,,,2957,,,openai,2957,B124
BRAZIL,,,,2974,,,openai,2974,B124
BRAZIL,,,,3078,,,openai,3078,B124
BRAZIL,,,,3189,,,openai,3189,B124
BRAZIL,,,,8613,,,openai,8613,B125
BRAZIL,,,,8617,,,Google Scholar,8617,B125
BRAZIL,,,,8621,,,openai,8621,B125
BRAZIL,,,,8625,,,openai,8625,B125
BRAZIL,,,,8429,,,openai,8429,B126
BRAZIL,,,,8433,,,Google Scholar,8433,B126
